Orðflokkur;mark;íslensk skýring;ensk skýring;
so;LHÞT-SB-HK-EFFT;lýsingarháttur þátíðar sterk beyging hvorugkyn eignarfall fleirtölu;past participle indefinite neuter genitive plural;
so;LHÞT-SB-HK-NFET;lýsingarháttur þátíðar sterk beyging hvorugkyn nefnifall eintölu;past participle indefinite neuter nominative singular;
so;LHÞT-SB-HK-NFFT;lýsingarháttur þátíðar sterk beyging hvorugkyn nefnifall fleirtölu;past participle indefinite neuter nominative plural;
so;LHÞT-SB-HK-ÞFET;lýsingarháttur þátíðar sterk beyging hvorugkyn þolfall eintölu;past participle indefinite neuter accusative singular;
so;LHÞT-SB-HK-ÞFFT;lýsingarháttur þátíðar sterk beyging hvorugkyn þolfall fleirtölu;past participle indefinite neuter accusative plural;
so;LHÞT-SB-HK-ÞGFET;lýsingarháttur þátíðar sterk beyging hvorugkyn þágufall eintölu;past participle indefinite neuter dative singular;
so;LHÞT-SB-HK-ÞGFFT;lýsingarháttur þátíðar sterk beyging hvorugkyn þágufall fleirtölu;past participle indefinite neuter dative plural;
so;LHÞT-SB-KK-EFET;lýsingarháttur þátíðar sterk beyging karlkyn eignarfall eintölu;past participle indefinite masculine genitive singular;
so;LHÞT-SB-KK-EFFT;lýsingarháttur þátíðar sterk beyging karlkyn eignarfall fleirtölu;past participle indefinite masculine genitive plural;
so;LHÞT-SB-KK-NFET;lýsingarháttur þátíðar sterk beyging karlkyn nefnifall eintölu;past participle indefinite masculine nominative singular;
so;LHÞT-SB-KK-NFFT;lýsingarháttur þátíðar sterk beyging karlkyn nefnifall fleirtölu;past participle indefinite masculine nominative plural;
so;LHÞT-SB-KK-ÞFET;lýsingarháttur þátíðar sterk beyging karlkyn þolfall eintölu;past participle indefinite masculine accusative singular;
so;LHÞT-SB-KK-ÞFFT;lýsingarháttur þátíðar sterk beyging karlkyn þolfall fleirtölu;past participle indefinite masculine accusative plural;
so;LHÞT-SB-KK-ÞGFET;lýsingarháttur þátíðar sterk beyging karlkyn þágufall eintölu;past participle indefinite masculine dative singular;
so;LHÞT-SB-KK-ÞGFFT;lýsingarháttur þátíðar sterk beyging karlkyn þágufall fleirtölu;past participle indefinite masculine dative plural;
so;LHÞT-SB-KVK-EFET;lýsingarháttur þátíðar sterk beyging kvenkyn eignarfall eintölu;past participle indefinite feminine genitive singular;
so;LHÞT-SB-KVK-EFFT;lýsingarháttur þátíðar sterk beyging kvenkyn eignarfall fleirtölu;past participle indefinite feminine genitive plural;
so;LHÞT-SB-KVK-NFET;lýsingarháttur þátíðar sterk beyging kvenkyn nefnifall eintölu;past participle indefinite feminine nominative singular;
so;LHÞT-SB-KVK-NFFT;lýsingarháttur þátíðar sterk beyging kvenkyn nefnifall fleirtölu;past participle indefinite feminine nominative plural;
so;LHÞT-SB-KVK-ÞFET;lýsingarháttur þátíðar sterk beyging kvenkyn þolfall eintölu;past participle indefinite feminine accusative singular;
so;LHÞT-SB-KVK-ÞFFT;lýsingarháttur þátíðar sterk beyging kvenkyn þolfall fleirtölu;past participle indefinite feminine accusative plural;
so;LHÞT-SB-KVK-ÞGFET;lýsingarháttur þátíðar sterk beyging kvenkyn þágufall eintölu;past participle indefinite feminine dative singular;
so;LHÞT-SB-KVK-ÞGFFT;lýsingarháttur þátíðar sterk beyging kvenkyn þágufall fleirtölu;past participle indefinite feminine dative plural;
so;LHÞT-VB-HK-EFET;lýsingarháttur þátíðar veik beyging hvorugkyn eignarfall eintölu;past participle definite neuter genitive singular;
so;LHÞT-VB-HK-EFFT;lýsingarháttur þátíðar veik beyging hvorugkyn eignarfall fleirtölu;past participle definite neuter genitive plural;
so;LHÞT-VB-HK-NFET;lýsingarháttur þátíðar veik beyging hvorugkyn nefnifall eintölu;past participle definite neuter nominative singular;
so;LHÞT-VB-HK-NFFT;lýsingarháttur þátíðar veik beyging hvorugkyn nefnifall fleirtölu;past participle definite neuter nominative plural;
so;LHÞT-VB-HK-ÞFET;lýsingarháttur þátíðar veik beyging hvorugkyn þolfall eintölu;past participle definite neuter accusative singular;
so;LHÞT-VB-HK-ÞFFT;lýsingarháttur þátíðar veik beyging hvorugkyn þolfall fleirtölu;past participle definite neuter accusative plural;
so;LHÞT-VB-HK-ÞGFET;lýsingarháttur þátíðar veik beyging hvorugkyn þágufall eintölu;past participle definite neuter dative singular;
so;LHÞT-VB-HK-ÞGFFT;lýsingarháttur þátíðar veik beyging hvorugkyn þágufall fleirtölu;past participle definite neuter dative plural;
so;LHÞT-VB-KK-EFET;lýsingarháttur þátíðar veik beyging karlkyn eignarfall eintölu;past participle definite masculine genitive singular;
so;LHÞT-VB-KK-EFFT;lýsingarháttur þátíðar veik beyging karlkyn eignarfall fleirtölu;past participle definite masculine genitive plural;
so;LHÞT-VB-KK-NFET;lýsingarháttur þátíðar veik beyging karlkyn nefnifall eintölu;past participle definite masculine nominative singular;
so;LHÞT-VB-KK-NFFT;lýsingarháttur þátíðar veik beyging karlkyn nefnifall fleirtölu;past participle definite masculine nominative plural;
so;LHÞT-VB-KK-ÞFET;lýsingarháttur þátíðar veik beyging karlkyn þolfall eintölu;past participle definite masculine accusative singular;
so;LHÞT-VB-KK-ÞFFT;lýsingarháttur þátíðar veik beyging karlkyn þolfall fleirtölu;past participle definite masculine accusative plural;
so;LHÞT-VB-KK-ÞGFET;lýsingarháttur þátíðar veik beyging karlkyn þágufall eintölu;past participle definite masculine dative singular;
so;LHÞT-VB-KK-ÞGFFT;lýsingarháttur þátíðar veik beyging karlkyn þágufall fleirtölu;past participle definite masculine dative plural;
so;LHÞT-VB-KVK-EFET;lýsingarháttur þátíðar veik beyging kvenkyn eignarfall eintölu;past participle definite feminine genitive singular;
so;LHÞT-VB-KVK-EFFT;lýsingarháttur þátíðar veik beyging kvenkyn eignarfall fleirtölu;past participle definite feminine genitive plural;
so;LHÞT-VB-KVK-NFET;lýsingarháttur þátíðar veik beyging kvenkyn nefnifall eintölu;past participle definite feminine nominative singular;
so;LHÞT-VB-KVK-NFFT;lýsingarháttur þátíðar veik beyging kvenkyn nefnifall fleirtölu;past participle definite feminine nominative plural;
so;LHÞT-VB-KVK-ÞFET;lýsingarháttur þátíðar veik beyging kvenkyn þolfall eintölu;past participle definite feminine accusative singular;
so;LHÞT-VB-KVK-ÞFFT;lýsingarháttur þátíðar veik beyging kvenkyn þolfall fleirtölu;past participle definite feminine accusative plural;
so;LHÞT-VB-KVK-ÞGFET;lýsingarháttur þátíðar veik beyging kvenkyn þágufall eintölu;past participle definite feminine dative singular;
so;LHÞT-VB-KVK-ÞGFFT;lýsingarháttur þátíðar veik beyging kvenkyn þágufall fleirtölu;past participle definite feminine dative plural;
so;MM-BH-ET;miðmynd boðháttur eintala;middle voice imperative singular;
so;MM-BH-FT;miðmynd boðháttur fleirtala;middle voice imperative plural;
so;MM-FH-NT-1P-ET;miðmynd framsöguháttur nútíð 1. persóna eintölu;middle voice indicative present tense 1st person singular;
so;MM-FH-NT-1P-FT;miðmynd framsöguháttur nútíð 1. persóna fleirtölu;middle voice indicative present tense 1st person plural;
so;MM-FH-NT-2P-ET;miðmynd framsöguháttur nútíð 2. persóna eintölu;middle voice indicative present tense 2nd person singular;
so;MM-FH-NT-2P-FT;miðmynd framsöguháttur nútíð 2. persóna fleirtölu;middle voice indicative present tense 2nd person plural;
so;MM-FH-NT-3P-ET;miðmynd framsöguháttur nútíð 3. persóna eintölu;middle voice indicative present tense 3rd person singular;
so;MM-FH-NT-3P-FT;miðmynd framsöguháttur nútíð 3. persóna fleirtölu;middle voice indicative present tense 3rd person plural;
so;MM-FH-ÞT-1P-ET;miðmynd framsöguháttur þátíð 1. persóna eintölu;middle voice indicative past tense 1st person singular;
so;MM-FH-ÞT-1P-FT;miðmynd framsöguháttur þátíð 1. persóna fleirtölu;middle voice indicative past tense 1st person plural;
so;MM-FH-ÞT-2P-ET;miðmynd framsöguháttur þátíð 2. persóna eintölu;middle voice indicative past tense 2nd person singular;
so;MM-FH-ÞT-2P-FT;miðmynd framsöguháttur þátíð 2. persóna fleirtölu;middle voice indicative past tense 2nd person plural;
so;MM-FH-ÞT-3P-ET;miðmynd framsöguháttur þátíð 3. persóna eintölu;middle voice indicative past tense 3rd person singular;
so;MM-FH-ÞT-3P-FT;miðmynd framsöguháttur þátíð 3. persóna fleirtölu;middle voice indicative past tense 3rd person plural;
so;MM-NH;miðmynd nafnháttur;middle voice infinitive;
so;MM-SAGNB;miðmynd sagnbót;middle voice supine;
so;MM-VH-NT-1P-ET;miðmynd viðtengingarháttur nútíð 1. persóna eintölu;middle voice subjunctive present tense 1st person singular;
so;MM-VH-NT-1P-FT;miðmynd viðtengingarháttur nútíð 1. persóna fleirtölu;middle voice subjunctive present tense 1st person plural;
so;MM-VH-NT-2P-ET;miðmynd viðtengingarháttur nútíð 2. persóna eintölu;middle voice subjunctive present tense 2nd person singular;
so;MM-VH-NT-2P-FT;miðmynd viðtengingarháttur nútíð 2. persóna fleirtölu;middle voice subjunctive present tense 2nd person plural;
so;MM-VH-NT-3P-ET;miðmynd viðtengingarháttur nútíð 3. persóna eintölu;middle voice subjunctive present tense 3rd person singular;
so;MM-VH-NT-3P-FT;miðmynd viðtengingarháttur nútíð 3. persóna fleirtölu;middle voice subjunctive present tense 3rd person plural;
so;MM-VH-ÞT-1P-ET;miðmynd viðtengingarháttur þátíð 1. persóna eintölu;middle voice subjunctive past tense 1st person singular;
so;MM-VH-ÞT-1P-FT;miðmynd viðtengingarháttur þátíð 1. persóna fleirtölu;middle voice subjunctive past tense 1st person plural;
so;MM-VH-ÞT-2P-ET;miðmynd viðtengingarháttur þátíð 2. persóna eintölu;middle voice subjunctive past tense 2nd person singular;
so;MM-VH-ÞT-2P-FT;miðmynd viðtengingarháttur þátíð 2. persóna fleirtölu;middle voice subjunctive past tense 2nd person plural;
so;MM-VH-ÞT-3P-ET;miðmynd viðtengingarháttur þátíð 3. persóna eintölu;middle voice subjunctive past tense 3rd person singular;
so;MM-VH-ÞT-3P-FT;miðmynd viðtengingarháttur þátíð 3. persóna fleirtölu;middle voice subjunctive past tense 3rd person plural;
so;OP-EF-GM-FH-NT-1P-ET;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur nútíð 1. persóna eintölu;impersonal genitive subject active voice indicative present tense 1st person singular;
so;OP-EF-GM-FH-NT-1P-FT;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur nútíð 1. persóna fleirtölu;impersonal genitive subject active voice indicative present tense 1st person plural;
so;OP-EF-GM-FH-NT-2P-ET;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur nútíð 2. persóna eintölu;impersonal genitive subject active voice indicative present tense 2nd person singular;
so;OP-EF-GM-FH-NT-2P-FT;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur nútíð 2. persóna fleirtölu;impersonal genitive subject active voice indicative present tense 2nd person plural;
so;OP-EF-GM-FH-NT-3P-ET;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur nútíð 3. persóna eintölu;impersonal genitive subject active voice indicative present tense 3rd person singular;
so;OP-EF-GM-FH-NT-3P-FT;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur nútíð 3. persóna fleirtölu;impersonal genitive subject active voice indicative present tense 3rd person plural;
so;OP-EF-GM-FH-ÞT-1P-ET;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur þátíð 1. persóna eintölu;impersonal genitive subject active voice indicative past tense 1st person singular;
so;OP-EF-GM-FH-ÞT-1P-FT;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur þátíð 1. persóna fleirtölu;impersonal genitive subject active voice indicative past tense 1st person plural;
so;OP-EF-GM-FH-ÞT-2P-ET;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur þátíð 2. persóna eintölu;impersonal genitive subject active voice indicative past tense 2nd person singular;
so;OP-EF-GM-FH-ÞT-2P-FT;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur þátíð 2. persóna fleirtölu;impersonal genitive subject active voice indicativepast tense 2nd person plural;
so;OP-EF-GM-FH-ÞT-3P-ET;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur þátíð 3. persóna eintölu;impersonal genitive subject active voice indicative past tense 3rd person singular;
so;OP-EF-GM-FH-ÞT-3P-FT;ópersónuleg beyging eignarfallsfrumlag germynd framsöguháttur þátíð 3. persóna fleirtölu;impersonal genitive subject active voice indicativepast tense 3rd person plural;
so;OP-EF-GM-VH-NT-1P-ET;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur nútíð 1. persóna eintölu;impersonal genitive subject active voice subjunctive present tense 1st person singular;
so;OP-EF-GM-VH-NT-1P-FT;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur nútíð 1. persóna fleirtölu;impersonal genitive subject active voice subjunctive present tense 1st person plural;
so;OP-EF-GM-VH-NT-2P-ET;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur nútíð 2. persóna eintölu;impersonal genitive subject active voice subjunctive present tense 2nd person singular;
so;OP-EF-GM-VH-NT-2P-FT;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur nútíð 2. persóna fleirtölu;impersonal genitive subject active voice subjunctive present tense 2nd person plural;
so;OP-EF-GM-VH-NT-3P-ET;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur nútíð 3. persóna eintölu;impersonal genitive subject active voice subjunctive present tense 3rd person singular;
so;OP-EF-GM-VH-NT-3P-FT;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur nútíð 3. persóna fleirtölu;impersonal genitive subject active voice subjunctive present tense 3rd person plural;
so;OP-EF-GM-VH-ÞT-1P-ET;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur þátíð 1. persóna eintölu;impersonal genitive subject active voice subjunctive past tense 1st person singular;
so;OP-EF-GM-VH-ÞT-1P-FT;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur þátíð 1. persóna fleirtölu;impersonal genitive subject active voice subjunctive past tense 1st person plural;
so;OP-EF-GM-VH-ÞT-2P-ET;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur þátíð 2. persóna eintölu;impersonal genitive subject active voice subjunctive past tense 2nd person singular;
so;OP-EF-GM-VH-ÞT-2P-FT;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur þátíð 2. persóna fleirtölu;impersonal genitive subject active voice subjunctive past tense 2nd person plural;
so;OP-EF-GM-VH-ÞT-3P-ET;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur þátíð 3. persóna eintölu;impersonal genitive subject active voice subjunctive past tense 3rd person singular;
so;OP-EF-GM-VH-ÞT-3P-FT;ópersónuleg beyging eignarfallsfrumlag germynd viðtengingarháttur þátíð 3. persóna fleirtölu;impersonal genitive subject active voice subjunctive past tense 3rd person plural;
so;OP-það-GM-FH-NT-3P-ET;ópersónuleg beyging gervifrumlag germynd framsöguháttur nútíð 3. persóna eintölu;impersonal dummy subject active voice indicative present tense 3rd person singular;
so;OP-það-GM-FH-ÞT-3P-ET;ópersónuleg beyging gervifrumlag germynd framsöguháttur þátíð 3. persóna eintölu;impersonal dummy subject active voice indicative past tense 3rd person singular;
so;OP-það-GM-VH-NT-3P-ET;ópersónuleg beyging gervifrumlag germynd viðtengingarháttur nútíð 3. persóna eintölu;impersonal dummy subject active voice subjunctive present tense 3rd person singular;
so;OP-það-GM-VH-ÞT-3P-3P;ópersónuleg beyging gervifrumlag germynd viðtengingarháttur þátíð 3. persóna eintölu;impersonal dummy subject active voice subjunctive past tense 3rd person singular;
so;OP-það-MM-FH-NT-3P-ET;ópersónuleg beyging gervifrumlag miðmynd framsöguháttur nútíð 3. persóna eintölu;impersonal dummy subject mediopassive voice indicative present tense 3rd person singular;
so;OP-það-MM-FH-ÞT-3P-ET;ópersónuleg beyging gervifrumlag miðmynd framsöguháttur þátíð 3. persóna eintölu;impersonal dummy subject mediopassive voice indicative past tense 3rd person singular;
so;OP-það-MM-VH-NT-3P-ET;ópersónuleg beyging gervifrumlag miðmynd viðtengingarháttur nútíð 3. persóna eintölu;impersonal dummy subject mediopassive voice subjunctive present tense 3rd person singular;
so;OP-það-MM-VH-ÞT-3P-ET;ópersónuleg beyging gervifrumlag miðmynd viðtengingarháttur þátíð 3. persóna eintölu;impersonal dummy subject mediopassive voice subjunctive past tense 3rd person singular;
so;OP-ÞF-GM-FH-NT-1P-ET;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur nútíð 1. persóna eintölu;impersonal accusative subject active voice indicative present tense 1st person singular;
so;OP-ÞF-GM-FH-NT-1P-FT;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur nútíð 1. persóna fleirtölu;impersonal accusative subject active voice indicative present tense 1st person plural;
so;OP-ÞF-GM-FH-NT-2P-ET;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur nútíð 2. persóna eintölu;impersonal accusative subject active voice indicative present tense 2nd person singular;
so;OP-ÞF-GM-FH-NT-2P-FT;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur nútíð 2. persóna fleirtölu;impersonal accusative subject active voice indicative present tense 2nd person plural;
so;OP-ÞF-GM-FH-NT-3P-ET;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur nútíð 3. persóna eintölu;impersonal accusative subject active voice indicative present tense 3rd person singular;
so;OP-ÞF-GM-FH-NT-3P-FT;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur nútíð 3. persóna fleirtölu;impersonal accusative subject active voice indicative present tense 3rd person plural;
so;OP-ÞF-GM-FH-ÞT-1P-ET;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur þátíð 1. persóna eintölu;impersonal accusative subject active voice indicative past tense 1st person singular;
so;OP-ÞF-GM-FH-ÞT-1P-FT;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur þátíð 1. persóna fleirtölu;impersonal accusative subject active voice indicative past tense 1st person plural;
so;OP-ÞF-GM-FH-ÞT-2P-ET;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur þátíð 2. persóna eintölu;impersonal accusative subject active voice indicative past tense 2nd person singular;
so;OP-ÞF-GM-FH-ÞT-2P-FT;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur þátíð 2. persóna fleirtölu;impersonal accusative subject active voice indicativepast tense 2nd person plural;
so;OP-ÞF-GM-FH-ÞT-3P-ET;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur þátíð 3. persóna eintölu;impersonal accusative subject active voice indicative past tense 3rd person singular;
so;OP-ÞF-GM-FH-ÞT-3P-FT;ópersónuleg beyging þolfallsfrumlag germynd framsöguháttur þátíð 3. persóna fleirtölu;impersonal accusative subject active voice indicativepast tense 3rd person plural;
so;OP-ÞF-GM-VH-NT-1P-ET;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur nútíð 1. persóna eintölu;impersonal accusative subject active voice subjunctive present tense 1st person singular;
so;OP-ÞF-GM-VH-NT-1P-FT;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur nútíð 1. persóna fleirtölu;impersonal accusative subject active voice subjunctive present tense 1st person plural;
so;OP-ÞF-GM-VH-NT-2P-ET;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur nútíð 2. persóna eintölu;impersonal accusative subject active voice subjunctive present tense 2nd person singular;
so;OP-ÞF-GM-VH-NT-2P-FT;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur nútíð 2. persóna fleirtölu;impersonal accusative subject active voice subjunctive present tense 2nd person plural;
so;OP-ÞF-GM-VH-NT-3P-ET;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur nútíð 3. persóna eintölu;impersonal accusative subject active voice subjunctive present tense 3rd person singular;
so;OP-ÞF-GM-VH-NT-3P-FT;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur nútíð 3. persóna fleirtölu;impersonal accusative subject active voice subjunctive present tense 3rd person plural;
so;OP-ÞF-GM-VH-ÞT-1P-ET;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur þátíð 1. persóna eintölu;impersonal accusative subject active voice subjunctive past tense 1st person singular;
so;OP-ÞF-GM-VH-ÞT-1P-FT;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur þátíð 1. persóna fleirtölu;impersonal accusative subject active voice subjunctive past tense 1st person plural;
so;OP-ÞF-GM-VH-ÞT-2P-ET;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur þátíð 2. persóna eintölu;impersonal accusative subject active voice subjunctive past tense 2nd person singular;
so;OP-ÞF-GM-VH-ÞT-2P-FT;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur þátíð 2. persóna fleirtölu;impersonal accusative subject active voice subjunctive past tense 2nd person plural;
so;OP-ÞF-GM-VH-ÞT-3P-ET;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur þátíð 3. persóna eintölu;impersonal accusative subject active voice subjunctive past tense 3rd person singular;
so;OP-ÞF-GM-VH-ÞT-3P-FT;ópersónuleg beyging þolfallsfrumlag germynd viðtengingarháttur þátíð 3. persóna fleirtölu;impersonal accusative subject active voice subjunctive past tense 3rd person plural;
so;OP-ÞGF-GM-FH-NT-1P-ET;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur nútíð 1. persóna eintölu;impersonal dative subject active voice indicative present tense 1st person singular;
so;OP-ÞGF-GM-FH-NT-1P-FT;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur nútíð 1. persóna fleirtölu;impersonal dative subject active voice indicative present tense 1st person plural;
so;OP-ÞGF-GM-FH-NT-2P-ET;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur nútíð 2. persóna eintölu;impersonal dative subject active voice indicative present tense 2nd person singular;
so;OP-ÞGF-GM-FH-NT-2P-FT;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur nútíð 2. persóna fleirtölu;impersonal dative subject active voice indicative present tense 2nd person plural;
so;OP-ÞGF-GM-FH-NT-3P-ET;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur nútíð 3. persóna eintölu;impersonal dative subject active voice indicative present tense 3rd person singular;
so;OP-ÞGF-GM-FH-NT-3P-FT;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur nútíð 3. persóna fleirtölu;impersonal dative subject active voice indicative present tense 3rd person plural;
so;OP-ÞGF-GM-FH-ÞT-1P-ET;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur þátíð 1. persóna eintölu;impersonal dative subject active voice indicative past tense 1st person singular;
so;OP-ÞGF-GM-FH-ÞT-1P-FT;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur þátíð 1. persóna fleirtölu;impersonal dative subject active voice indicative past tense 1st person plural;
so;OP-ÞGF-GM-FH-ÞT-2P-ET;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur þátíð 2. persóna eintölu;impersonal dative subject active voice indicative past tense 2nd person singular;
so;OP-ÞGF-GM-FH-ÞT-2P-FT;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur þátíð 2. persóna fleirtölu;impersonal dative subject active voice indicativepast tense 2nd person plural;
so;OP-ÞGF-GM-FH-ÞT-3P-ET;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur þátíð 3. persóna eintölu;impersonal dative subject active voice indicative past tense 3rd person singular;
so;OP-ÞGF-GM-FH-ÞT-3P-FT;ópersónuleg beyging þágufallsfrumlag germynd framsöguháttur þátíð 3. persóna fleirtölu;impersonal dative subject active voice indicativepast tense 3rd person plural;
so;OP-ÞGF-GM-VH-NT-1P-ET;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur nútíð 1. persóna eintölu;impersonal dative subject active voice subjunctive present tense 1st person singular;
so;OP-ÞGF-GM-VH-NT-1P-FT;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur nútíð 1. persóna fleirtölu;impersonal dative subject active voice subjunctive present tense 1st person plural;
so;OP-ÞGF-GM-VH-NT-2P-ET;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur nútíð 2. persóna eintölu;impersonal dative subject active voice subjunctive present tense 2nd person singular;
so;OP-ÞGF-GM-VH-NT-2P-FT;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur nútíð 2. persóna fleirtölu;impersonal dative subject active voice subjunctive present tense 2nd person plural;
so;OP-ÞGF-GM-VH-NT-3P-ET;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur nútíð 3. persóna eintölu;impersonal dative subject active voice subjunctive present tense 3rd person singular;
so;OP-ÞGF-GM-VH-NT-3P-FT;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur nútíð 3. persóna fleirtölu;impersonal dative subject active voice subjunctive present tense 3rd person plural;
so;OP-ÞGF-GM-VH-ÞT-1P-ET;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur þátíð 1. persóna eintölu;impersonal dative subject active voice subjunctive past tense 1st person singular;
so;OP-ÞGF-GM-VH-ÞT-1P-FT;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur þátíð 1. persóna fleirtölu;impersonal dative subject active voice subjunctive past tense 1st person plural;
so;OP-ÞGF-GM-VH-ÞT-2P-ET;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur þátíð 2. persóna eintölu;impersonal dative subject active voice subjunctive past tense 2nd person singular;
so;OP-ÞGF-GM-VH-ÞT-2P-FT;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur þátíð 2. persóna fleirtölu;impersonal dative subject active voice subjunctive past tense 2nd person plural;
so;OP-ÞGF-GM-VH-ÞT-3P-ET;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur þátíð 3. persóna eintölu;impersonal dative subject active voice subjunctive past tense 3rd person singular;
so;OP-ÞGF-GM-VH-ÞT-3P-FT;ópersónuleg beyging þágufallsfrumlag germynd viðtengingarháttur þátíð 3. persóna fleirtölu;impersonal dative subject active voice subjunctive past tense 3rd person plural;
so;OP-ÞGF-MM-FH-NT-1P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur nútíð 1. persóna eintölu;impersonal dative subject middle voice indicative present tense 1st person singular;
so;OP-ÞGF-MM-FH-NT-1P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur nútíð 1. persóna fleirtölu;impersonal dative subject middle voice indicative present tense 1st person plural;
so;OP-ÞGF-MM-FH-NT-2P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur nútíð 2. persóna eintölu;impersonal dative subject middle voice indicative present tense 2nd person singular;
so;OP-ÞGF-MM-FH-NT-2P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur nútíð 2. persóna fleirtölu;impersonal dative subject middle voice indicative present tense 2nd person plural;
so;OP-ÞGF-MM-FH-NT-3P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur nútíð 3. persóna eintölu;impersonal dative subject middle voice indicative present tense 3rd person singular;
so;OP-ÞGF-MM-FH-NT-3P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur nútíð 3. persóna fleirtölu;impersonal dative subject middle voice indicative present tense 3rd person plural;
so;OP-ÞGF-MM-FH-ÞT-1P-ET;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur þátíð 1. persóna eintölu;impersonal dative subject middle voice indicative past tense 1st person singular;
so;OP-ÞGF-MM-FH-ÞT-1P-FT;ópersónuleg beyging þágufallsfrumlag miðmynd framsöguháttur þátíð 1. persóna fleirtölu;impersonal dative subject middle voice indicative past tense 1st person plural;
